S.No,Date,(Node 01) Battery Voltage ,(Node 01) Soil EC,(Node 01) Soil Moisture ,(Node 01) Soil Temperature ,(Node 01) Solar Voltage ,(Node 02) Battery Voltage ,(Node 02) Soil EC,(Node 02) Soil Moisture ,(Node 02) Soil Temperature ,(Node 02) Solar Voltage ,(Node 03) Battery Voltage ,(Node 03) Soil EC,(Node 03) Soil Moisture ,(Node 03) Soil Temperature ,(Node 03) Solar Voltage ,(Node 04) Battery Voltage ,(Node 04) Soil EC,(Node 04) Soil Moisture ,(Node 04) Soil Temperature ,(Node 04) Solar Voltage 
26,12/01/2022- 3:41:39 PM,4.25,111.08,20.04,23.05,4.29,,,,,,,,,,,,,,,
27,12/01/2022- 3:53:04 PM,4.24,114.75,20.12,22.81,4.24,,,,,,,,,,,,,,,
28,12/01/2022- 4:03:40 PM,4.25,,20.17,,4.2,,,,,,,,,,,,,,,
29,12/01/2022- 4:14:02 PM,4.24,102.54,20.09,22.96,4.16,,,,,,,,,,,,,,,
30,12/01/2022- 4:25:27 PM,4.24,107.42,20.29,22.93,4.12,,,,,,,,,,,,,,,
31,12/01/2022- 4:36:04 PM,4.23,103.76,20.31,23.08,3.82,,,,,,,,,,,,,,,
32,12/01/2022- 4:46:27 PM,4.22,,20.31,,2.64,,,,,,,,,,,,,,,
33,12/01/2022- 4:58:05 PM,4.21,108.64,20.19,23.11,0.71,,,,,,,,,,,,,,,
34,12/01/2022- 5:08:28 PM,4.2,113.53,20.19,23.31,0.1,,,,,,,,,,,,,,,
35,12/01/2022- 5:19:52 PM,4.2,106.2,20.26,23.13,0.06,,,,,,,,,,,,,,,
36,12/01/2022- 5:30:27 PM,4.19,113.53,20.17,23.05,0.06,,,,,,,,,,,,,,,
37,12/01/2022- 5:40:49 PM,4.19,111.08,20.19,23.22,0.06,,59.81,,23.84,,,,,,,,,,,
38,12/01/2022- 5:52:14 PM,4.18,109.86,20.14,23.22,0.06,,,,,,,,,,,,,,,
39,12/01/2022- 6:02:50 PM,4.18,111.08,20.07,23.11,0.06,4.21,62.26,17.41,23.9,0.08,,,,,,,,,,
40,12/01/2022- 6:14:15 PM,4.17,117.19,20.24,23.19,0.06,4.21,56.15,17.43,23.93,0.08,,,,,,,,,,
41,12/01/2022- 6:24:37 PM,4.17,104.98,20.07,23.08,0.06,,,,,,,,,,,,,,,
42,12/01/2022- 6:35:14 PM,4.17,108.64,20.36,23.11,0.06,,,,,,,,,,,,,,,
43,12/01/2022- 6:46:39 PM,4.16,111.08,20.41,23.19,0.06,,,,,,,,,,,,,,,
44,12/01/2022- 6:57:01 PM,4.16,108.64,20.61,23.25,0.06,,,,,,,,,,,,,,,
45,12/01/2022- 7:07:37 PM,4.16,108.64,20.14,23.11,0.06,,,,,,4.16,64.7,22.9,22.84,0.05,4.13,129.39,21.7,22.96,0.05
46,12/01/2022- 7:19:02 PM,4.16,111.08,20.36,23.19,0.06,,,,,,4.16,62.26,22.88,23.13,0.05,4.13,130.62,21.51,23.02,0.05
47,12/01/2022- 7:29:38 PM,4.15,109.86,20.29,23.19,0.06,,,,,,4.15,62.26,23.27,22.64,0.05,4.13,129.39,21.56,22.96,0.06
48,12/01/2022- 7:40:00 PM,4.15,107.42,20.07,23.22,0.06,,,,,,,,,,,,,,,
49,12/01/2022- 7:51:25 PM,4.15,109.86,20.26,23.19,0.06,,,,,,,,,,,,,,,
50,12/01/2022- 8:02:02 PM,4.15,107.42,20.29,23.34,0.06,,,,,,,,,,,,,,,
51,12/01/2022- 8:13:27 PM,4.15,103.76,20.48,23.25,0.06,,,,,,,,,,,,,,,
52,12/01/2022- 8:23:50 PM,4.14,111.08,20.48,23.19,0.06,,,,,,,,,,,,,,,
53,12/01/2022- 8:34:25 PM,4.14,106.2,20.41,23.34,0.06,,,,,,,,,,,,,,,
54,12/01/2022- 8:45:50 PM,4.14,114.75,20.63,23.34,0.06,,,,,,,,,,,,,,,
55,12/01/2022- 8:56:13 PM,4.14,112.3,20.43,23.37,0.06,,,,,,,,,,,,,,,
56,12/01/2022- 9:06:50 PM,4.14,111.08,20.51,23.4,0.06,,,,,,,,,,,,,,,
57,12/01/2022- 9:18:14 PM,4.14,108.64,20.34,23.4,0.06,,,,,,,,,,,,,,,
58,12/01/2022- 9:28:37 PM,4.14,107.42,20.29,23.22,0.06,,,,,,,,,,,,,,,
59,12/01/2022- 9:39:13 PM,4.13,108.64,20.31,23.4,0.06,,,,,,,,,,,,,,,
60,12/01/2022- 9:50:38 PM,4.13,113.53,20.24,23.46,0.06,,,,,,,,,,,,,,,
61,12/01/2022- 10:01:13 PM,4.13,107.42,20.39,23.4,0.06,,,,,,,,,,,,,,,
62,12/01/2022- 10:12:38 PM,4.13,109.86,20.51,23.4,0.06,,,,,,,,,,,,,,,
63,12/01/2022- 10:23:01 PM,4.13,109.86,20.43,23.25,0.06,,,,,,,,,,,,,,,
64,12/01/2022- 10:33:37 PM,4.12,109.86,20.43,23.49,0.06,4.17,51.27,17.38,24.1,0.09,,,,,,4.1,137.94,21.41,22.81,0.05
65,12/01/2022- 10:45:02 PM,4.12,,20.39,,0.06,4.17,58.59,17.29,23.9,0.09,,,,,,,,,,
66,12/01/2022- 10:55:24 PM,4.12,108.64,20.36,23.37,0.06,,,,,,,,,,,,,,,
67,12/01/2022- 11:06:00 PM,4.12,103.76,20.36,23.34,0.06,,,,,,,,,,,,,,,
68,12/01/2022- 11:17:25 PM,4.12,100.1,20.21,23.34,0.06,,,,,,,,,,,,,,,
69,12/01/2022- 11:27:47 PM,4.12,104.98,20.34,23.28,0.06,,,,,,,58.59,,22.75,,,,,,
70,12/01/2022- 11:38:29 PM,4.12,111.08,20.36,23.46,0.06,,,,,,4.12,58.59,22.92,22.67,0.05,,,,,
71,12/01/2022- 11:49:54 PM,4.12,,20.46,,0.06,,,,,,,,,,,,,,,
72,12/02/2022- 12:00:16 AM,4.12,111.08,20.36,23.37,0.06,,,,,,,,,,,,,,,
73,12/02/2022- 12:10:54 AM,4.12,109.86,20.53,23.49,0.06,,,,,,,,,,,,,,,
74,12/02/2022- 12:22:19 AM,4.12,113.53,20.24,23.46,0.06,,,,,,,,,,,,,,,
75,12/02/2022- 12:32:55 AM,4.12,111.08,20.43,23.37,0.06,,,,,,,,,,,,,,,
76,12/02/2022- 12:44:20 AM,4.12,117.19,20.51,23.46,0.06,,,,,,,,,,,,,,,
77,12/02/2022- 12:54:42 AM,4.11,113.53,20.34,23.63,0.06,,,,,,,,,,,,,,,
78,12/02/2022- 1:05:18 AM,4.11,109.86,20.29,23.34,0.06,,,,,,,,,,,,,,,
79,12/02/2022- 1:16:43 AM,4.11,109.86,20.31,23.49,0.06,,,,,,,,,,,,,,,
80,12/02/2022- 1:27:05 AM,4.11,106.2,20.34,23.54,0.06,,,,,,,,,,,,,,,
81,12/02/2022- 1:37:40 AM,4.11,106.2,20.46,23.52,0.06,,,,,,,,,,,,,,,
82,12/02/2022- 1:49:04 AM,4.11,106.2,20.51,23.43,0.06,,,,,,,,,,,,,,,
83,12/02/2022- 1:59:27 AM,4.11,,20.36,,0.06,,,,,,,,,,,,,,,
84,12/02/2022- 2:10:02 AM,4.11,108.64,20.24,23.43,0.06,,,,,,,,,,,,,,,
85,12/02/2022- 2:21:27 AM,4.11,109.86,20.46,23.34,0.06,,,,,,,,,,,,,,,
86,12/02/2022- 2:31:50 AM,4.1,113.53,20.53,23.57,0.06,,,,,,,,,,,,,,,
87,12/02/2022- 2:42:25 AM,4.11,108.64,20.41,23.28,0.06,,,,,,,,,,,,,,,
88,12/02/2022- 2:53:50 AM,4.1,104.98,20.7,23.4,0.06,,,,,,,,,,,,,,,
89,12/02/2022- 3:04:26 AM,4.1,108.64,20.46,23.4,0.06,,,,,,,,,,,,,,,
90,12/02/2022- 3:15:50 AM,4.1,109.86,20.48,23.37,0.07,,,,,,,,,,,,,,,
91,12/02/2022- 3:26:13 AM,4.1,106.2,20.36,23.34,0.06,4.15,62.26,17.16,23.6,0.1,,,,,,,,,,
92,12/02/2022- 3:36:48 AM,4.1,108.64,20.21,23.31,0.06,,,,,,,,,,,,,,,
93,12/02/2022- 3:48:13 AM,4.1,109.86,20.41,23.49,0.07,,,,,,,,,,,,,,,
94,12/02/2022- 3:58:34 AM,4.1,108.64,20.36,23.46,0.07,,,,,,,59.81,,22.52,,,,,,
95,12/02/2022- 4:09:11 AM,4.1,108.64,20.43,23.4,0.06,,,,,,4.1,56.15,23.22,22.52,0.05,,,,,
96,12/02/2022- 4:20:36 AM,4.1,112.3,20.26,23.31,0.07,,,,,,4.1,51.27,22.92,22.34,0.05,,,,,
97,12/02/2022- 4:30:58 AM,4.1,109.86,20.17,23.31,0.06,,,,,,,,,,,,,,,
98,12/02/2022- 4:41:34 AM,4.1,106.2,20.29,23.31,0.07,,,,,,,,,,,,,,,
99,12/02/2022- 4:52:58 AM,4.09,103.76,20.43,23.34,0.07,,,,,,,,,,,,,,,
100,12/02/2022- 5:03:20 AM,4.1,103.76,20.43,23.34,0.07,,,,,,,,,,,4.07,135.5,21.58,21.9,0.05
101,12/02/2022- 5:13:56 AM,4.09,108.64,20.21,23.43,0.07,,,,,,,,,,,4.07,135.5,21.61,21.79,0.05
102,12/02/2022- 5:25:21 AM,4.09,111.08,20.36,23.34,0.06,,,,,,,,,,,4.07,134.28,21.46,21.64,0.06
103,12/02/2022- 5:35:58 AM,4.09,111.08,20.39,23.31,0.01,,,,,,,,,,,,,,,
104,12/02/2022- 5:46:20 AM,4.09,112.3,20.73,23.16,0.08,,,,,,,,,,,,,,,
105,12/02/2022- 5:57:45 AM,4.09,111.08,20.53,23.34,0.8,,,,,,,,,,,,,,,
106,12/02/2022- 6:08:21 AM,4.09,106.2,20.34,23.34,2.86,,,,,,,,,,,,,,,
107,12/02/2022- 6:19:45 AM,4.09,108.64,20.31,23.28,3.91,,,,,,,,,,,,,,,
108,12/02/2022- 6:30:08 AM,4.09,107.42,20.29,23.16,3.99,,,,,,,,,,,,,,,
109,12/02/2022- 6:40:43 AM,4.09,111.08,20.48,23.34,4.02,,,,,,,,,,,,,,,
110,12/02/2022- 6:52:07 AM,4.1,108.64,20.46,23.19,4.04,,,,,,,,,,,,,,,
111,12/02/2022- 7:02:29 AM,4.1,111.08,20.51,23.28,4.06,,,,,,,,,,,,,,,
112,12/02/2022- 7:13:05 AM,4.14,113.53,20.61,23.28,4.28,,,,,,,,,,,,,,,
113,12/02/2022- 7:24:30 AM,4.17,115.97,20.43,23.46,4.41,,,,,,,,,,,,,,,
114,12/02/2022- 7:34:52 AM,4.2,124.51,20.51,23.4,4.47,,,,,,,,,,,,,,,
115,12/02/2022- 7:45:29 AM,4.24,119.63,20.41,23.08,5,4.2,50.05,17.53,23.25,4.38,,,,,,,,,,
116,12/02/2022- 7:56:53 AM,4.22,128.17,20.85,23.6,4.44,,54.93,,22.93,,,,,,,,,,,
117,12/02/2022- 8:07:29 AM,4.25,123.29,20.83,23.63,4.39,4.26,57.37,17.33,22.9,4.55,,,,,,,,,,
118,12/02/2022- 8:18:54 AM,4.25,123.29,20.65,23.66,4.51,4.25,57.37,17.36,22.87,4.42,,,,,,,,,,
119,12/02/2022- 8:29:17 AM,4.25,,20.83,,4.43,,,,,,,,,,,4.18,128.17,21.53,21.29,4.44
120,12/02/2022- 8:39:51 AM,4.27,125.73,20.61,23.57,4.4,,,,,,,,,,,,,,,
121,12/02/2022- 8:51:16 AM,4.22,107.42,20.29,23.11,5,,,,,,,,,,,,,,,
122,12/02/2022- 9:01:39 AM,4.27,126.95,20.85,23.6,4.38,,,,,,,,,,,,,,,
123,12/02/2022- 9:13:17 AM,4.22,107.42,20.39,23.16,5,,,,,,,,,,,,,,,
124,12/02/2022- 9:23:39 AM,4.22,103.76,20.34,23.16,5,,,,,,,,,,,,,,,
125,12/02/2022- 9:35:04 AM,4.21,119.63,20.09,22.93,5,,,,,,,,,,,,,,,
126,12/02/2022- 9:45:39 AM,4.21,103.76,20.46,22.96,5,,,,,,,,,,,,,,,
127,12/02/2022- 9:57:04 AM,4.21,108.64,20.24,23.02,5,,,,,,,,,,,,,,,
128,12/02/2022- 10:07:26 AM,4.21,119.63,20.12,23.19,5,,,,,,,,,,,,,,,
129,12/02/2022- 10:18:03 AM,4.21,111.08,20.41,22.93,5,,,,,,,,,,,,,,,
130,12/02/2022- 10:29:28 AM,4.21,107.42,20.24,23.02,5,,,,,,,,,,,,,,,
131,12/02/2022- 10:40:04 AM,4.21,111.08,20.43,22.9,5,,,,,,,,,,,,,,,
132,12/02/2022- 10:51:28 AM,4.21,114.75,20.34,22.99,5,,,,,,,,,,,,,,,
133,12/02/2022- 11:01:50 AM,4.21,108.64,20.41,23.05,5,,,,,,,,,,,,,,,
134,12/02/2022- 11:13:28 AM,4.21,118.41,20.34,23.08,5,,,,,,,,,,,,,,,
135,12/02/2022- 11:23:50 AM,4.21,119.63,20.04,22.9,5,,,,,,,,,,,,,,,
136,12/02/2022- 11:35:15 AM,4.21,111.08,20.34,22.81,5,,,,,,,,,,,,,,,
137,12/02/2022- 11:45:52 AM,4.21,104.98,20.36,23.05,5,,,,,,,,,,,4.19,130.62,21.46,21.38,5
138,12/02/2022- 11:56:15 AM,4.21,115.97,20.36,22.72,5,,,,,,,,,,,,,,,
139,12/02/2022- 12:07:40 PM,4.26,135.5,20.8,23.43,4.33,,,,,,,,,,,,,,,
140,12/02/2022- 12:18:15 PM,4.22,108.64,20.29,22.99,5,,,,,,,,,,,,,,,
141,12/02/2022- 12:29:39 PM,4.27,133.06,20.43,23.31,4.36,,,,,,,,,,,,,,,
142,12/02/2022- 12:40:31 PM,4.26,122.07,20.24,23.37,5,4.24,62.26,17.11,22.78,5,4.17,57.37,22.27,22.17,5,,,,,
143,12/02/2022- 12:50:54 PM,4.26,126.95,20.58,23.11,5,,,,,,,,,,,,,,,
144,12/02/2022- 1:02:19 PM,4.23,115.97,20.14,22.93,5,,,,,,,,,,,,,,,
145,12/02/2022- 1:12:55 PM,4.23,106.2,20.29,22.84,5,,,,,,,,,,,,,,,
146,12/02/2022- 1:24:20 PM,4.23,114.75,20.26,22.87,5,,,,,,,,,,,,,,,
147,12/02/2022- 1:34:42 PM,4.23,115.97,20.07,22.9,5,,,,,,,,,,,,,,,
148,12/02/2022- 1:46:21 PM,4.27,124.51,20.36,23.22,4.37,,,,,,,,,,,,,,,
149,12/02/2022- 1:56:44 PM,4.23,108.64,20.17,22.9,5,,,,,,,,,,,,,,,
150,12/02/2022- 2:08:08 PM,4.23,115.97,20.09,22.75,5,,,,,,,,,,,,,,,
151,12/02/2022- 2:18:44 PM,4.23,112.3,20.07,22.99,5,,,,,,,,,,,,,,,
152,12/02/2022- 2:30:09 PM,4.23,109.86,20.24,23.02,5,,,,,,,,,,,,,,,
153,12/02/2022- 2:40:32 PM,4.23,109.86,19.92,22.9,5,,,,,,,,,,,,,,,
154,12/02/2022- 2:52:09 PM,4.23,101.32,19.97,23.08,5,,,,,,,,,,,,,,,
155,12/02/2022- 3:02:31 PM,4.23,114.75,20.24,23.11,5,,,,,,,,,,,,120.85,,22.75,
156,12/02/2022- 3:24:52 PM,4.26,114.75,20.29,23.25,4.47,,,,,,,,,,,4.21,118.41,21.44,22.7,4.17
157,12/02/2022- 3:35:15 PM,4.26,115.97,20.26,23.37,4.41,,,,,,,,,,,,,,,
158,12/02/2022- 3:46:53 PM,4.25,114.75,20.09,23.31,4.31,,,,,,,,,,,,,,,
159,12/02/2022- 3:57:15 PM,4.24,108.64,20.14,23.13,4.26,,,,,,,,,,,,,,,
160,12/02/2022- 4:08:40 PM,4.24,106.2,19.82,23.22,4.17,,,,,,,,,,,,,,,
161,12/02/2022- 4:19:15 PM,4.23,108.64,20.29,23.16,4.13,,,,,,,,,,,,,,,
162,12/02/2022- 4:29:37 PM,4.22,112.3,20.02,23.05,4.07,,,,,,,,,,,,,,,
163,12/02/2022- 4:41:02 PM,4.22,102.54,19.92,23.11,3.44,,,,,,,,,,,,,,,
164,12/02/2022- 4:51:38 PM,4.21,111.08,20.39,23.16,1.61,,,,,,,,,,,,,,,
165,12/02/2022- 5:03:03 PM,4.2,102.54,20.24,23.22,0.2,,,,,,,,,,,,,,,
166,12/02/2022- 5:13:39 PM,4.19,104.98,20.07,23.16,0.07,,,,,,4.2,62.26,22.85,22.72,0.06,,,,,
167,12/02/2022- 5:24:01 PM,4.19,106.2,20.07,23.19,0.06,4.22,52.49,17.41,24.07,0.08,,,,,,,,,,
168,12/02/2022- 5:35:26 PM,4.19,112.3,20.12,23.34,0.06,4.22,56.15,17.38,24.01,0.08,,,,,,,,,,
169,12/02/2022- 5:46:02 PM,4.18,117.19,20.17,23.31,0.06,4.22,68.36,17.36,23.72,0.09,,,,,,,,,,
170,12/02/2022- 5:56:24 PM,4.18,112.3,20.04,23.43,0.06,,,,,,,,,,,,,,,
171,12/02/2022- 6:07:48 PM,4.17,108.64,20.21,23.4,0.06,,,,,,,,,,,,,,,
172,12/02/2022- 6:18:25 PM,4.17,111.08,20.19,23.34,0.06,,,,,,,,,,,,,,,
173,12/02/2022- 6:29:50 PM,4.17,111.08,20.24,23.37,0.06,,,,,,,,,,,,,,,
174,12/02/2022- 6:40:12 PM,4.17,108.64,19.97,23.22,0.06,,,,,,,,,,,4.14,134.28,21.61,23.54,0.06
175,12/02/2022- 6:50:47 PM,4.16,104.98,19.97,23.37,0.06,,,,,,,,,,,,,,,
176,12/02/2022- 7:02:12 PM,4.16,106.2,20.31,23.31,0.07,,,,,,,,,,,,,,,
177,12/02/2022- 7:12:35 PM,4.16,108.64,20.31,23.52,0.07,,,,,,,,,,,,,,,
178,12/02/2022- 7:23:11 PM,4.15,109.86,20.36,23.31,0.06,,,,,,,,,,,,,,,
179,12/02/2022- 7:34:36 PM,4.15,112.3,20,23.37,0.07,,,,,,,,,,,,,,,
180,12/02/2022- 7:45:11 PM,4.15,113.53,20.46,23.4,0.07,,,,,,,,,,,,,,,
181,12/02/2022- 7:55:34 PM,4.15,,20.21,,0.06,,,,,,,,,,,,,,,
182,12/02/2022- 8:06:58 PM,4.14,108.64,20.19,23.37,0.07,,,,,,,,,,,,,,,
183,12/02/2022- 8:17:34 PM,4.14,104.98,20.07,23.49,0.06,,,,,,,,,,,,,,,
184,12/02/2022- 8:28:59 PM,4.14,111.08,20.29,23.54,0.06,,,,,,,,,,,,,,,
185,12/02/2022- 8:39:21 PM,4.14,104.98,20.14,23.43,0.07,,,,,,,,,,,,,,,
186,12/02/2022- 8:49:58 PM,4.14,111.08,20.31,23.6,0.07,,,,,,,,,,,,,,,
187,12/02/2022- 9:01:23 PM,4.14,111.08,20.24,23.49,0.07,,,,,,,,,,,,,,,
188,12/02/2022- 9:11:45 PM,4.13,111.08,20.07,23.49,0.07,,,,,,,,,,,,,,,
189,12/02/2022- 9:22:24 PM,4.13,112.3,20.24,23.52,0.07,,,,,,4.14,69.58,22.75,23.05,0.05,,,,,
190,12/02/2022- 9:33:49 PM,4.13,114.75,20.21,23.6,0.07,,,,,,4.14,65.92,23,22.96,0.05,,,,,
191,12/02/2022- 9:44:12 PM,4.13,108.64,20.29,23.46,0.07,,,,,,4.13,,22.68,,0.05,4.11,125.73,21.53,23.16,0.06
192,12/02/2022- 9:54:47 PM,4.13,107.42,20.58,23.49,0.07,,53.71,,24.25,,,,,,,,,,,
193,12/02/2022- 10:06:12 PM,4.13,114.75,20.12,23.49,0.06,,64.7,,24.1,,,,,,,,,,,
194,12/02/2022- 10:16:49 PM,4.13,,20.19,,0.07,,,,,,,,,,,,,,,
195,12/02/2022- 10:27:11 PM,4.13,103.76,20.07,23.54,0.07,,,,,,,,,,,,,,,
196,12/02/2022- 10:38:36 PM,4.12,106.2,20.12,23.6,0.07,,,,,,,,,,,,,,,
197,12/02/2022- 10:49:12 PM,4.12,109.86,20.19,23.49,0.07,,,,,,,,,,,,,,,
198,12/02/2022- 11:00:37 PM,4.12,109.86,20.29,23.43,0.07,,,,,,,,,,,,,,,
199,12/02/2022- 11:10:59 PM,4.12,103.76,20.26,23.57,0.06,,,,,,,,,,,,,,,
200,12/02/2022- 11:21:35 PM,4.12,114.75,20.12,23.43,0.07,,,,,,,,,,,,,,,
201,12/02/2022- 11:33:00 PM,4.12,108.64,20.14,23.57,0.06,,,,,,,,,,,,,,,
202,12/02/2022- 11:43:22 PM,4.12,113.53,20.21,23.57,0.06,,,,,,,,,,,,,,,
203,12/02/2022- 11:53:57 PM,4.12,115.97,20.29,23.57,0.07,,,,,,,,,,,,,,,
204,12/03/2022- 12:05:22 AM,4.12,113.53,20.43,23.52,0.06,,,,,,,,,,,,,,,
205,12/03/2022- 12:15:44 AM,4.11,108.64,20.51,23.6,0.06,,,,,,,,,,,,,,,
206,12/03/2022- 12:26:20 AM,4.11,109.86,20.14,23.69,0.06,,,,,,,,,,,,,,,
207,12/03/2022- 12:37:45 AM,4.11,111.08,20.09,23.52,0.07,,,,,,,,,,,,,,,
208,12/03/2022- 12:48:21 AM,4.11,111.08,20.17,23.6,0.06,,,,,,,,,,,,,,,
209,12/03/2022- 12:58:44 AM,4.11,,20.29,,0.06,,,,,,,,,,,4.09,131.84,21.31,22.7,0.06
210,12/03/2022- 1:10:08 AM,4.11,112.3,20.09,23.43,0.06,,,,,,,,,,,4.09,118.41,21.51,22.58,0.06
211,12/03/2022- 1:20:44 AM,4.11,107.42,20.51,23.57,0.06,,,,,,,,,,,,,,,
212,12/03/2022- 1:32:09 AM,4.11,109.86,20.31,23.49,0.06,,,,,,,,,,,,,,,
213,12/03/2022- 1:42:32 AM,4.11,113.53,20.39,23.54,0.06,,,,,,,,,,,,,,,
214,12/03/2022- 1:53:06 AM,4.11,113.53,20.17,23.57,0.06,,,,,,,58.59,,23.02,,,,,,
215,12/03/2022- 2:04:32 AM,4.11,114.75,20.17,23.57,0.06,,,,,,4.11,65.92,22.97,22.34,0.05,,,,,
216,12/03/2022- 2:14:54 AM,4.1,107.42,20.24,23.37,0.07,,,,,,,,,,,,,,,
217,12/03/2022- 2:25:31 AM,4.11,103.76,20.24,23.54,0.06,,,,,,,,,,,,,,,
218,12/03/2022- 2:36:56 AM,4.1,104.98,20.41,23.46,0.06,,,,,,,,,,,,,,,
219,12/03/2022- 2:47:18 AM,4.1,111.08,20.21,23.63,0.06,4.15,63.48,17.36,23.69,0.1,,,,,,,,,,
220,12/03/2022- 2:57:54 AM,4.1,107.42,20.19,23.6,0.06,,,,,,,,,,,,,,,
221,12/03/2022- 3:09:18 AM,4.1,102.54,20.34,23.52,0.07,,,,,,,,,,,,,,,
222,12/03/2022- 3:19:54 AM,4.1,107.42,20.12,23.72,0.07,,,,,,,,,,,,,,,
223,12/03/2022- 3:30:17 AM,4.1,102.54,20.34,23.57,0.07,,,,,,,,,,,,,,,
224,12/03/2022- 3:41:41 AM,4.1,111.08,20.36,23.46,0.07,,,,,,,,,,,,,,,
225,12/03/2022- 3:52:17 AM,4.1,109.86,20.41,23.54,0.07,,,,,,,,,,,,,,,
226,12/03/2022- 4:02:40 AM,4.1,,20.14,,0.07,,,,,,,,,,,,,,,
227,12/03/2022- 4:14:04 AM,4.1,112.3,20.48,23.63,0.07,,,,,,,,,,,,,,,
228,12/03/2022- 4:24:40 AM,4.1,,20.48,,0.07,,,,,,,,,,,,,,,
229,12/03/2022- 4:36:04 AM,4.1,108.64,20.17,23.69,0.07,,,,,,,,,,,4.07,124.51,21.48,22.05,0.06
230,12/03/2022- 4:46:26 AM,4.1,112.3,20.26,23.52,0.07,,,,,,,,,,,,,,,
231,12/03/2022- 4:57:03 AM,4.09,108.64,20.34,23.49,0.07,,,,,,,,,,,,,,,
232,12/03/2022- 5:08:27 AM,4.09,106.2,20.34,23.54,0.07,,,,,,,,,,,,,,,
233,12/03/2022- 5:18:50 AM,4.09,111.08,20.39,23.52,0.07,,,,,,,,,,,,,,,
234,12/03/2022- 5:29:26 AM,4.09,113.53,20.26,23.49,0.07,,,,,,,,,,,,,,,
235,12/03/2022- 5:40:50 AM,4.09,106.2,20.39,23.49,0.03,,,,,,,,,,,,,,,
236,12/03/2022- 5:51:26 AM,4.09,113.53,20.48,23.43,0.17,,,,,,,,,,,,,,,
237,12/03/2022- 6:01:48 AM,4.09,111.08,20.34,23.43,1.35,,,,,,4.09,59.81,22.8,22.4,1.79,,,,,
238,12/03/2022- 6:13:15 AM,4.09,112.3,20.51,23.34,3.66,,,,,,4.09,72.02,22.9,22.46,3.95,,,,,
